,year,month,day,FX,FM,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK
0,2024,2,11,10.1,4.3,9.7,6,0.0,0,7.9,10.3,985.3,8.1,95.0,9.4,6.5,5.9
1,2024,2,10,8.2,2.5,1.3,6,0.0,0,8.0,11.2,985.61,9.9,92.13,14.0,6.7,4.6
2,2024,2,9,9.8,3.5,6.8,6,0.0,0,7.8,7.7,986.3,3.6,95.92,7.9,0.6,-0.1
3,2024,2,8,7.0,2.0,3.9,8,0.0,0,7.7,6.1,996.13,1.1,91.33,4.1,-2.0,-4.8
4,2024,2,7,15.2,5.7,0.0,6,0.0,0,7.8,6.5,995.8,4.6,76.08,9.2,-0.5,-4.2
5,2024,2,6,18.2,8.2,9.6,6,0.0,0,7.8,9.1,998.5,10.4,71.75,11.9,8.7,7.5
6,2024,2,5,19.8,8.3,2.4,6,0.0,0,7.5,10.0,1003.47,10.0,81.83,10.6,6.9,6.3
7,2024,2,4,16.1,6.6,11.3,6,0.0,0,7.5,8.0,1008.4,7.6,76.83,8.8,5.9,4.1
8,2024,2,3,14.3,6.6,2.6,6,0.0,0,7.6,10.4,1011.78,9.7,86.58,11.0,7.8,5.8
9,2024,2,2,14.0,5.8,0.0,6,0.0,0,7.8,7.5,1016.73,6.4,77.71,8.7,4.3,2.6
10,2024,2,1,16.5,6.5,0.1,6,0.0,0,6.0,6.9,1017.19,6.4,72.33,8.7,4.4,2.6
11,2024,1,31,12.2,5.0,1.5,6,0.0,0,7.8,6.8,1023.16,6.0,72.29,8.9,4.6,3.9
12,2024,1,30,7.4,2.4,0.0,6,0.0,0,8.0,6.1,1022.52,5.2,68.54,8.5,0.9,-1.5
13,2024,1,29,8.6,2.9,0.0,0,0.0,0,6.8,5.1,1023.89,4.2,63.25,9.8,0.2,-2.2
14,2024,1,28,7.2,2.6,0.0,0,0.0,0,2.8,5.8,1028.77,2.9,77.33,7.8,-1.6,-4.4
15,2024,1,27,13.9,5.7,0.0,0,0.0,0,6.4,6.7,1025.52,5.2,75.46,7.1,2.8,0.7
16,2024,1,26,17.9,4.8,4.0,6,0.0,0,6.5,7.6,1014.98,5.2,84.58,9.7,0.6,-2.5
17,2024,1,25,21.1,8.5,0.0,6,0.0,0,7.1,7.3,1015.46,7.4,70.42,8.7,2.8,-1.2
18,2024,1,24,22.7,9.0,3.8,4,0.0,0,7.3,8.9,1004.8,9.1,77.54,11.5,4.6,3.5
19,2024,1,23,16.6,5.5,5.5,4,0.0,0,7.2,7.1,1012.15,6.1,75.46,8.1,3.9,2.1
20,2024,1,22,15.3,5.9,2.8,6,0.0,1,7.0,7.6,1004.61,6.9,75.5,10.3,2.4,1.0
21,2024,1,21,11.3,3.7,0.0,6,0.0,2,7.3,3.6,1018.94,-0.3,60.71,3.3,-4.7,-7.1
22,2024,1,20,13.8,5.0,0.0,0,0.0,3,5.5,4.8,1019.43,0.8,74.88,3.4,-3.7,-6.4
23,2024,1,19,12.2,4.7,0.0,8,0.0,3,2.3,4.5,1008.7,-0.6,77.08,2.1,-4.7,-7.1
24,2024,1,18,5.9,2.8,0.0,0,0.0,3,5.1,4.4,991.6,-2.0,83.75,-0.6,-4.6,-8.1
25,2024,1,17,6.7,2.8,0.8,8,0.0,4,5.8,4.3,989.85,-2.3,82.83,-0.5,-5.2,-8.6
26,2024,1,16,9.0,2.7,0.2,8,0.0,4,7.5,4.9,999.12,-0.8,85.83,1.1,-3.5,-6.9
27,2024,1,15,15.7,6.6,3.4,8,0.0,0,7.8,5.5,988.25,1.5,80.83,3.2,-1.1,-2.4
28,2024,1,14,12.1,6.0,0.5,4,0.0,0,7.7,6.3,996.13,2.6,86.17,3.5,1.9,0.5
29,2024,1,13,14.7,5.7,2.1,4,0.0,0,7.5,6.5,1008.95,2.2,90.63,3.2,1.5,0.8
30,2024,1,12,8.6,3.7,0.2,8,0.0,0,7.9,5.8,1021.94,0.1,94.25,1.6,-1.0,-1.1
31,2024,1,11,7.0,3.0,0.0,6,0.0,0,6.8,4.8,1024.15,-3.0,94.75,0.7,-8.7,-11.4
32,2024,1,10,4.6,1.8,0.0,0,0.0,0,0.0,2.7,1027.77,-6.1,71.54,-0.9,-9.8,-13.1
33,2024,1,9,5.3,2.6,0.0,0,0.0,0,0.0,2.5,1031.51,-7.7,74.0,-3.8,-11.1,-13.1
34,2024,1,8,11.2,4.9,0.0,0,0.0,0,0.3,2.5,1027.55,-6.8,68.58,-4.4,-8.3,-10.0
35,2024,1,7,15.6,5.4,0.0,7,0.0,0,7.3,3.7,1017.15,-2.3,70.83,-0.4,-7.7,-8.7
36,2024,1,6,12.0,5.3,0.0,8,0.0,0,8.0,5.3,1005.6,-0.3,88.63,0.8,-1.6,-1.7
37,2024,1,5,9.1,3.9,4.7,8,0.0,0,7.8,5.9,999.78,0.5,92.04,1.0,-0.2,-0.5
38,2024,1,4,16.8,5.5,2.0,8,0.0,0,7.7,7.1,992.11,4.3,83.58,9.1,0.3,-0.7
39,2024,1,3,15.4,5.0,1.1,6,0.0,0,7.3,9.5,983.95,9.8,78.71,11.6,8.4,7.3
